strategy,ticker,value,dropdown
buy_and_hold_strategy,HRTX,0.21212121212121215,87.98226164079821
buy_and_hold_strategy,REGN,1.1846891896115261,25.74259300291397
buy_and_hold_strategy,UTHR,2.5134141064474256,30.756072528224433
buy_and_hold_strategy,CLDX,2.642608695652174,62.953185498064066
close_vs_sma_strategy,HRTX,0.34464042941150375,79.12160434400417
close_vs_sma_strategy,REGN,0.9640496582192338,20.795244651177683
close_vs_sma_strategy,UTHR,1.7582513432807654,11.71809510545882
close_vs_sma_strategy,CLDX,0.5433738331972966,52.11853514772941
mean_reversion_strategy,HRTX,0.21050112462170878,86.85924987558252
mean_reversion_strategy,REGN,1.2060545701186531,11.502945448207038
mean_reversion_strategy,UTHR,1.822216495560746,17.05963090636265
mean_reversion_strategy,CLDX,1.106099234473689,38.7316679124192
prev_peak_strategy,HRTX,0.14278008517115193,89.46002076843199
prev_peak_strategy,REGN,1.7805343842037569,12.492988530818726
prev_peak_strategy,UTHR,1.0270827806479126,9.581751148360066
prev_peak_strategy,CLDX,0.8943253886732816,49.482163406214035
random_strategy,HRTX,0.25696054455832396,84.42265349356789
random_strategy,REGN,0.8067652530899273,34.434573724904865
random_strategy,UTHR,1.2682240897665706,24.575859724724193
random_strategy,CLDX,1.0363282963316849,29.13795887747856
prev_peak_nodrop_strategy,HRTX,1.192517006802721,10.35735917625682
prev_peak_nodrop_strategy,REGN,1.1572512466055076,12.492988530818725
prev_peak_nodrop_strategy,UTHR,1.2865060489412203,16.97725475708235
prev_peak_nodrop_strategy,CLDX,0.8749655742219774,16.604872881355934
close_vs_sma_nodrop_strategy,HRTX,0.16052521383877377,90.3217173399702
close_vs_sma_nodrop_strategy,REGN,1.0809863454436688,23.644138844224216
close_vs_sma_nodrop_strategy,UTHR,1.3588307148549732,6.435288849081955
close_vs_sma_nodrop_strategy,CLDX,0.8757170172084129,27.15548125149271
mean_reversion_nodrop_strategy,HRTX,0.5500801051484497,52.33644859813084
mean_reversion_nodrop_strategy,REGN,1.10873896596571,4.335310735801196
mean_reversion_nodrop_strategy,UTHR,1.0,0.0
mean_reversion_nodrop_strategy,CLDX,1.0,0.0
anti_drop_strategy,HRTX,0.25408054267700186,86.07142937977605
anti_drop_strategy,REGN,1.15542084314357,6.37475224440963
anti_drop_strategy,UTHR,0.9895357239558558,2.164711817503654
anti_drop_strategy,CLDX,1.2421084481855005,27.030356208208577
buy_and_hold_strategy,HRTX,0.43129948765719595,61.811023622047244
buy_and_hold_strategy,REGN,0.9469308594183814,30.11301413833774
buy_and_hold_strategy,UTHR,1.0547648362472295,25.19563976933834
buy_and_hold_strategy,CLDX,4.0,63.410742776103525
close_vs_sma_strategy,HRTX,0.3500590778591448,81.83534255957655
close_vs_sma_strategy,REGN,1.121235190635181,22.46753205701308
close_vs_sma_strategy,UTHR,1.0,0.0
close_vs_sma_strategy,CLDX,0.7328006236601052,39.30444919370507
mean_reversion_strategy,HRTX,0.19956674832804244,86.40854472630174
mean_reversion_strategy,REGN,1.490093136240663,10.972446136631374
mean_reversion_strategy,UTHR,1.0045242539423627,7.419503711430481
mean_reversion_strategy,CLDX,1.0570907296598608,38.7316679124192
prev_peak_strategy,HRTX,0.3277597011328031,84.98516320474776
prev_peak_strategy,REGN,1.4837882464762466,21.50794278057997
prev_peak_strategy,UTHR,1.4463424939539213,16.977254757082346
prev_peak_strategy,CLDX,0.8989566730518022,49.482163406214035
random_strategy,HRTX,0.6825582660389363,35.86527268606409
random_strategy,REGN,1.3147665875967598,10.999326503477148
random_strategy,UTHR,1.520122558659186,15.451888381436387
random_strategy,CLDX,2.1885308749454904,33.38799606428337
prev_peak_nodrop_strategy,HRTX,1.0,0.0
prev_peak_nodrop_strategy,REGN,1.7894330118379547,12.492988530818723
prev_peak_nodrop_strategy,UTHR,1.1520822756675753,16.97725475708235
prev_peak_nodrop_strategy,CLDX,1.0,0.0
close_vs_sma_nodrop_strategy,HRTX,0.9414706914261374,13.949104618284638
close_vs_sma_nodrop_strategy,REGN,1.0809863454436688,23.644138844224216
close_vs_sma_nodrop_strategy,UTHR,1.2560561441258344,5.865719333669867
close_vs_sma_nodrop_strategy,CLDX,0.6616956991484007,53.298103221926304
mean_reversion_nodrop_strategy,HRTX,1.0,0.0
mean_reversion_nodrop_strategy,REGN,1.10873896596571,4.335310735801196
mean_reversion_nodrop_strategy,UTHR,1.0,0.0
mean_reversion_nodrop_strategy,CLDX,1.0,0.0
anti_drop_strategy,HRTX,0.4949466763637018,68.14806940199385
anti_drop_strategy,REGN,1.2284008247015712,16.573913670750134
anti_drop_strategy,UTHR,1.1051136351739668,8.372221955887154
anti_drop_strategy,CLDX,1.7461197706646696,28.907473856475693
buy_and_hold_strategy,HRTX,0.20951859956236324,85.14563106796118
buy_and_hold_strategy,REGN,1.1939769189054874,27.374742166488243
buy_and_hold_strategy,UTHR,1.980602311072359,22.95700055382844
buy_and_hold_strategy,CLDX,1.1664520283322601,44.208037825059115
close_vs_sma_strategy,HRTX,0.32533067068634364,85.08728747202129
close_vs_sma_strategy,REGN,1.0,0.0
close_vs_sma_strategy,UTHR,1.350856251740124,9.244957513959696
close_vs_sma_strategy,CLDX,0.9868612261341277,36.03966532383018
mean_reversion_strategy,HRTX,0.4411302982731554,62.50980392156862
mean_reversion_strategy,REGN,1.2209242716345958,26.043763997617237
mean_reversion_strategy,UTHR,1.647002148701522,8.83355764198562
mean_reversion_strategy,CLDX,1.1580822073952834,38.7316679124192
prev_peak_strategy,HRTX,0.4663416898792943,76.69452181987002
